Ticker,Date,Close,Currency
ADWZ,01/03/2025,211.85,USD
ADWZ,02/03/2025,211.85,USD
ADWZ,03/03/2025,211.85,USD
ADWZ,04/03/2025,211.85,USD
ADWZ,05/03/2025,211.85,USD
ADWZ,06/03/2025,211.85,USD
ADWZ,07/03/2025,211.85,USD
ADWZ,08/03/2025,211.85,USD
ADWZ,09/03/2025,211.85,USD
ADWZ,10/03/2025,211.85,USD
ADWZ,11/03/2025,211.85,USD
ADWZ,12/03/2025,211.85,USD
ADWZ,13/03/2025,211.85,USD
ADWZ,14/03/2025,211.85,USD
ADWZ,15/03/2025,211.85,USD
ADWZ,16/03/2025,211.85,USD
ADWZ,17/03/2025,211.85,USD
ADWZ,18/03/2025,211.85,USD
ADWZ,19/03/2025,211.85,USD
ADWZ,20/03/2025,211.85,USD
ADWZ,21/03/2025,211.85,USD
ADWZ,22/03/2025,211.85,USD
ADWZ,23/03/2025,211.85,USD
ADWZ,24/03/2025,211.85,USD
ADWZ,25/03/2025,211.85,USD
ADWZ,26/03/2025,211.85,USD
ADWZ,27/03/2025,211.85,USD
ADWZ,28/03/2025,211.85,USD
ADWZ,29/03/2025,211.85,USD
ADWZ,30/03/2025,211.85,USD
ADWZ,31/03/2025,211.85,USD
ADWZ,01/04/2025,211.85,USD
ADWZ,02/04/2025,211.85,USD
ADWZ,03/04/2025,211.85,USD
ADWZ,04/04/2025,211.85,USD
ADWZ,05/04/2025,211.85,USD
ADWZ,06/04/2025,211.85,USD
ADWZ,07/04/2025,211.85,USD
ADWZ,08/04/2025,211.85,USD
ADWZ,09/04/2025,211.85,USD
ADWZ,10/04/2025,211.85,USD
ADWZ,11/04/2025,211.85,USD
ADWZ,12/04/2025,211.85,USD
ADWZ,13/04/2025,211.85,USD
ADWZ,14/04/2025,211.85,USD
ADWZ,15/04/2025,211.85,USD
ADWZ,16/04/2025,211.85,USD
ADWZ,17/04/2025,211.85,USD
ADWZ,18/04/2025,211.85,USD
ADWZ,19/04/2025,211.85,USD
ADWZ,20/04/2025,211.85,USD
ADWZ,21/04/2025,211.85,USD
ADWZ,22/04/2025,211.85,USD
ADWZ,23/04/2025,211.85,USD
ADWZ,24/04/2025,211.85,USD
ADWZ,25/04/2025,211.85,USD
ADWZ,26/04/2025,211.85,USD
ADWZ,27/04/2025,211.85,USD
ADWZ,28/04/2025,211.85,USD
ADWZ,29/04/2025,211.85,USD
ADWZ,30/04/2025,211.85,USD
ADWZ,01/05/2025,211.85,USD
ADWZ,02/05/2025,211.85,USD
ADWZ,03/05/2025,211.85,USD
ADWZ,04/05/2025,211.85,USD
ADWZ,05/05/2025,211.85,USD
ADWZ,06/05/2025,211.85,USD
ADWZ,07/05/2025,211.85,USD
ADWZ,08/05/2025,211.85,USD
ADWZ,09/05/2025,211.85,USD
ADWZ,10/05/2025,211.85,USD
ADWZ,11/05/2025,211.85,USD
ADWZ,12/05/2025,211.85,USD
ADWZ,13/05/2025,211.85,USD
ADWZ,14/05/2025,211.85,USD
ADWZ,15/05/2025,211.85,USD
ADWZ,16/05/2025,211.85,USD
ADWZ,17/05/2025,211.85,USD
ADWZ,18/05/2025,211.85,USD
ADWZ,19/05/2025,211.85,USD
ADWZ,20/05/2025,211.85,USD
ADWZ,21/05/2025,211.85,USD
ADWZ,22/05/2025,211.85,USD
ADWZ,23/05/2025,211.85,USD
ADWZ,24/05/2025,211.85,USD
ADWZ,25/05/2025,211.85,USD
ADWZ,26/05/2025,211.85,USD
ADWZ,27/05/2025,211.85,USD
ADWZ,28/05/2025,211.85,USD
ADWZ,29/05/2025,211.85,USD
ADWZ,30/05/2025,211.85,USD
ADWZ,31/05/2025,211.85,USD
ADWZ,01/06/2025,211.85,USD
ADWZ,02/06/2025,211.85,USD
ADWZ,03/06/2025,208.17,USD
ADWZ,04/06/2025,207.1,USD
ADWZ,05/06/2025,214.49,USD
ADWZ,06/06/2025,222.44,USD
ADWZ,09/06/2025,221.66,USD
ADWZ,10/06/2025,221.2,USD
ADWZ,11/06/2025,223.53,USD
ADWZ,12/06/2025,235.58,USD
ADWZ,13/06/2025,245.49,USD
ADWZ,16/06/2025,252.21,USD
ADWZ,17/06/2025,241.48,USD
ADWZ,18/06/2025,238.86,USD
ADWZ,19/06/2025,236.77,USD
ADWZ,20/06/2025,250.01,USD
ADWZ,23/06/2025,247.66,USD
ADWZ,24/06/2025,259.9,USD
ADWZ,25/06/2025,254.05,USD
ADWZ,26/06/2025,249.13,USD
ADWZ,27/06/2025,253.86,USD
ADWZ,30/06/2025,269.56,USD
ADWZ,01/07/2025,267.31,USD
ADWZ,02/07/2025,240.3,USD
ADWZ,03/07/2025,225.48,USD
ADWZ,04/07/2025,228.12,USD
ADWZ,07/07/2025,214.86,USD
ADWZ,08/07/2025,207.53,USD
ADWZ,09/07/2025,207.63,USD
ADWZ,10/07/2025,187.58,USD
ADWZ,11/07/2025,184.77,USD
ADWZ,14/07/2025,176.28,USD
ADWZ,15/07/2025,165.86,USD
ADWZ,16/07/2025,160.62,USD
ADWZ,17/07/2025,153.84,USD
ADWZ,18/07/2025,156.69,USD
ADWZ,21/07/2025,164.08,USD
ADWZ,22/07/2025,161.73,USD
ADWZ,23/07/2025,157.93,USD
ADWZ,24/07/2025,155.35,USD
ADWZ,25/07/2025,148.56,USD
ADWZ,28/07/2025,141.01,USD
ADWZ,29/07/2025,131.86,USD
ADWZ,30/07/2025,124.95,USD
ADWZ,31/07/2025,132.99,USD
ADWZ,01/08/2025,129.37,USD
ADWZ,04/08/2025,114.36,USD
ADWZ,05/08/2025,111.72,USD
