CustomerID,Ticker,Quantity,AsOfDate
C100000,AKML,646,2025-09-01
C100000,NOI,597,2025-09-01
C100000,DYD,1080,2025-09-01
C100000,XPMCJ,380,2025-09-01
C100000,RFC,552,2025-09-01
C100000,UGD,1648,2025-09-01
C100000,RBQI,803,2025-09-01
C100000,PJAWE,413,2025-09-01
C100000,CQBSZ,1558,2025-09-01
C100000,UJLJN,1161,2025-09-01
C100000,PUFCF,1447,2025-09-01
C100000,CWWFV,1925,2025-09-01
C100001,YZMHJ,1459,2025-09-01
C100001,IRRD,1779,2025-09-01
C100001,QYXRA,234,2025-09-01
C100001,XYKK,1148,2025-09-01
C100001,QTSFL,1463,2025-09-01
C100002,TMP,876,2025-09-01
C100002,QBZ,1282,2025-09-01
C100002,GMC,1878,2025-09-01
C100002,TEDO,469,2025-09-01
C100002,ZDZW,1233,2025-09-01
C100002,LOTU,1876,2025-09-01
C100002,IGRIG,885,2025-09-01
C100002,RFJMR,1803,2025-09-01
C100002,VRZ,1826,2025-09-01
C100002,MLFM,1222,2025-09-01
C100002,SOHH,1608,2025-09-01
C100002,THX,218,2025-09-01
C100002,ESQ,1881,2025-09-01
C100003,LJPL,1323,2025-09-01
C100003,THP,643,2025-09-01
C100003,HYRF,1088,2025-09-01
C100003,ROJT,1469,2025-09-01
C100003,IDD,1581,2025-09-01
C100003,QHKZE,505,2025-09-01
C100003,VYUH,64,2025-09-01
C100003,GSHRU,1554,2025-09-01
C100003,SNZBL,1747,2025-09-01
C100003,MYA,653,2025-09-01
C100004,QHKZE,829,2025-09-01
C100004,RTYK,1300,2025-09-01
C100004,CCD,1717,2025-09-01
C100004,XPMCJ,1059,2025-09-01
C100004,HSSU,157,2025-09-01
C100004,AWOK,258,2025-09-01
C100004,VCX,783,2025-09-01
C100004,FET,1775,2025-09-01
C100004,KKHDK,1729,2025-09-01
C100005,OTEN,1316,2025-09-01
C100005,RFF,1688,2025-09-01
C100005,PLUGD,1489,2025-09-01
C100005,NTVB,1414,2025-09-01
C100005,USOZ,1733,2025-09-01
C100005,UIKD,249,2025-09-01
C100005,JAJTW,269,2025-09-01
C100005,IMD,1689,2025-09-01
C100006,GJQJR,1422,2025-09-01
C100006,HKDYH,178,2025-09-01
C100006,SPZRA,899,2025-09-01
C100006,OER,1335,2025-09-01
C100006,QWO,431,2025-09-01
C100006,NCRE,874,2025-09-01
C100006,ESMX,290,2025-09-01
C100006,QGXD,1512,2025-09-01
C100007,JVWF,257,2025-09-01
C100007,OOX,520,2025-09-01
C100007,TARPY,76,2025-09-01
C100007,JRZ,1951,2025-09-01
C100007,RJK,1446,2025-09-01
C100007,IIZ,949,2025-09-01
C100007,RDHG,1661,2025-09-01
C100008,SFQ,766,2025-09-01
C100008,QGC,1101,2025-09-01
C100008,XFNEW,1650,2025-09-01
C100008,NOI,1592,2025-09-01
C100008,YBY,1882,2025-09-01
C100008,WMF,896,2025-09-01
C100009,OOX,1993,2025-09-01
C100009,AWOK,1682,2025-09-01
C100009,GNN,144,2025-09-01
C100009,HHIOD,1560,2025-09-01
C100009,FITJ,1284,2025-09-01
C100009,ZJSXT,1252,2025-09-01
C100009,PNKI,1706,2025-09-01
C100009,ZUUP,1224,2025-09-01
C100009,BADQB,1085,2025-09-01
C100010,WKYOP,1631,2025-09-01
C100010,NDFD,1795,2025-09-01
C100010,NIEX,880,2025-09-01
C100010,LDXCH,1514,2025-09-01
C100010,AWBKJ,279,2025-09-01
C100010,TFNN,1057,2025-09-01
C100010,LBGDH,607,2025-09-01
C100010,RHI,623,2025-09-01
C100010,PNKI,1585,2025-09-01
C100010,RDCQB,835,2025-09-01
C100010,MTWDE,199,2025-09-01
C100010,RMAH,1197,2025-09-01
C100010,PZVHJ,1851,2025-09-01
C100010,OOX,1021,2025-09-01
C100011,MFOYS,561,2025-09-01
C100011,IUNJ,195,2025-09-01
C100011,LMHK,843,2025-09-01
C100011,LOTU,1111,2025-09-01
C100011,ZDZW,1675,2025-09-01
C100011,KOKF,1999,2025-09-01
C100011,RFJMR,1273,2025-09-01
C100011,RONV,1061,2025-09-01
C100012,QLRI,571,2025-09-01
C100012,LVV,699,2025-09-01
C100012,UPV,1006,2025-09-01
C100012,FKIJS,1847,2025-09-01
C100012,BVB,1380,2025-09-01
C100012,THX,1578,2025-09-01
C100012,LKLY,1022,2025-09-01
C100012,XVB,594,2025-09-01
C100012,ZTSC,1633,2025-09-01
C100012,ONCC,1960,2025-09-01
C100012,VTZ,479,2025-09-01
C100012,BSU,1768,2025-09-01
C100012,PSBT,160,2025-09-01
C100013,CROZ,478,2025-09-01
C100013,FFBQF,201,2025-09-01
C100013,NTVB,155,2025-09-01
C100013,WOO,395,2025-09-01
C100013,EMF,1830,2025-09-01
C100013,BHICN,1311,2025-09-01
C100013,LJJEF,1295,2025-09-01
C100014,NIEX,1064,2025-09-01
C100014,EYERS,1034,2025-09-01
C100014,PQK,347,2025-09-01
C100014,HYRF,1280,2025-09-01
C100014,OIC,1951,2025-09-01
C100014,CRHS,935,2025-09-01
C100014,RRJ,836,2025-09-01
C100014,BYWX,881,2025-09-01
C100015,PQAYV,1859,2025-09-01
C100015,LBGDH,22,2025-09-01
C100015,QGJ,108,2025-09-01
C100015,WMF,1892,2025-09-01
C100015,RJBRI,468,2025-09-01
C100016,KSBR,1994,2025-09-01
C100016,IULZ,789,2025-09-01
C100016,PWETB,157,2025-09-01
C100016,NEJHK,1205,2025-09-01
C100016,QKP,216,2025-09-01
C100016,JAJTW,1888,2025-09-01
C100016,GJQJR,1119,2025-09-01
C100016,PSBT,319,2025-09-01
C100016,UIHUJ,18,2025-09-01
C100016,JGH,453,2025-09-01
C100016,JRRO,478,2025-09-01
C100017,RFF,1867,2025-09-01
C100017,ANLR,323,2025-09-01
C100017,ZQKZJ,175,2025-09-01
C100017,IMG,1742,2025-09-01
C100017,CES,1913,2025-09-01
C100017,VRZ,1294,2025-09-01
C100017,IYBWC,556,2025-09-01
C100018,HYQTC,1524,2025-09-01
C100018,BMNSU,1436,2025-09-01
C100018,LJJEF,1509,2025-09-01
C100018,ANLR,228,2025-09-01
C100018,VUFA,464,2025-09-01
C100018,GGD,1809,2025-09-01
C100018,SND,1014,2025-09-01
C100019,GMC,1112,2025-09-01
C100019,MURH,1796,2025-09-01
C100019,ETUOT,64,2025-09-01
C100019,KEJT,1239,2025-09-01
C100019,ZTSC,1362,2025-09-01
C100019,BLHH,1891,2025-09-01
C100019,WIS,1022,2025-09-01
C100019,PJUHG,863,2025-09-01
C100020,QEZLX,309,2025-09-01
C100020,DFPC,811,2025-09-01
C100020,RHI,463,2025-09-01
C100020,HYRF,1742,2025-09-01
C100020,IMG,1910,2025-09-01
C100020,MITJY,1440,2025-09-01
C100020,BBYX,1440,2025-09-01
C100020,ANLR,500,2025-09-01
C100020,EYU,238,2025-09-01
C100020,LNURY,148,2025-09-01
C100021,QEZLX,68,2025-09-01
C100021,JJH,1559,2025-09-01
C100021,YNZO,295,2025-09-01
C100021,YIJUV,174,2025-09-01
C100021,EMWB,611,2025-09-01
C100021,SPZRA,1308,2025-09-01
C100021,FET,717,2025-09-01
C100021,HZZ,1475,2025-09-01
C100021,BVB,512,2025-09-01
C100021,CJO,14,2025-09-01
C100021,ETWH,1927,2025-09-01
C100021,LRJLC,482,2025-09-01
C100021,VYUH,276,2025-09-01
C100021,BHZY,1725,2025-09-01
C100022,VNH,1548,2025-09-01
C100022,SHAYC,1166,2025-09-01
C100022,YWG,975,2025-09-01
C100022,KOG,827,2025-09-01
C100022,QBZ,1084,2025-09-01
C100022,HYRF,206,2025-09-01
C100022,KSBR,1928,2025-09-01
C100022,JFG,808,2025-09-01
C100023,SUB,1869,2025-09-01
C100023,ITY,334,2025-09-01
C100023,LCRVI,1066,2025-09-01
C100023,RDCQB,1275,2025-09-01
C100023,NLUC,1884,2025-09-01
C100023,UUE,1704,2025-09-01
C100023,XYKK,770,2025-09-01
C100023,JTOUV,781,2025-09-01
C100023,JTON,452,2025-09-01
C100023,ECNQI,1370,2025-09-01
C100023,MFOYS,268,2025-09-01
C100023,RNQ,1376,2025-09-01
C100024,MTWDE,1108,2025-09-01
C100024,IRKXL,391,2025-09-01
C100024,UIHUJ,1684,2025-09-01
C100024,JTON,307,2025-09-01
C100024,MAQUS,1647,2025-09-01
C100025,KREEP,1646,2025-09-01
C100025,NEJHK,1989,2025-09-01
C100025,DBY,1618,2025-09-01
C100025,SUB,1432,2025-09-01
C100025,UGFOQ,267,2025-09-01
C100025,MAQUS,862,2025-09-01
C100025,UIKD,740,2025-09-01
C100025,ZMGPF,864,2025-09-01
C100025,YNZO,832,2025-09-01
C100025,WEG,1134,2025-09-01
C100025,PBBUP,1480,2025-09-01
C100026,XYKK,987,2025-09-01
C100026,HYRF,1934,2025-09-01
C100026,KEFPW,1860,2025-09-01
C100026,NLUC,1914,2025-09-01
C100026,ZHZR,1710,2025-09-01
C100026,SSNOZ,59,2025-09-01
C100026,FUBQ,652,2025-09-01
C100027,BQQBS,1155,2025-09-01
C100027,AFD,1846,2025-09-01
C100027,MFZI,1025,2025-09-01
C100027,GLHTL,1528,2025-09-01
C100027,UGD,1275,2025-09-01
C100027,KKHDK,1965,2025-09-01
C100027,AKML,1659,2025-09-01
C100027,NEJHK,708,2025-09-01
C100027,TIBOV,1044,2025-09-01
C100027,JRZ,134,2025-09-01
C100027,RMAH,393,2025-09-01
C100028,VKB,713,2025-09-01
C100028,SYZXC,788,2025-09-01
C100028,NLZBM,1899,2025-09-01
C100028,KUYA,113,2025-09-01
C100028,PVAU,926,2025-09-01
C100028,XFNEW,14,2025-09-01
C100028,WWJE,1177,2025-09-01
C100028,VQPD,791,2025-09-01
C100028,CSEG,985,2025-09-01
C100028,SHAYC,923,2025-09-01
C100028,XUWX,1302,2025-09-01
C100028,ZPDCR,1856,2025-09-01
C100029,UZXTV,642,2025-09-01
C100029,HQPT,626,2025-09-01
C100029,CLRJD,1850,2025-09-01
C100029,RZPY,1825,2025-09-01
C100029,MUSKV,1410,2025-09-01
C100029,GMC,336,2025-09-01
C100029,JYS,1610,2025-09-01
C100029,CRHS,860,2025-09-01
C100029,LNURY,1204,2025-09-01
C100029,WVAW,1234,2025-09-01
C100029,ZJSXT,1423,2025-09-01
C100029,QVBU,255,2025-09-01
C100030,LBGDH,1063,2025-09-01
C100030,AFUX,138,2025-09-01
C100030,YAV,1226,2025-09-01
C100030,ZMGPF,731,2025-09-01
C100030,GLHTL,1682,2025-09-01
C100030,HKNX,1464,2025-09-01
C100030,BQXZT,884,2025-09-01
C100030,WOO,1987,2025-09-01
C100030,IYFI,132,2025-09-01
C100031,USRM,1045,2025-09-01
C100031,RONV,1553,2025-09-01
C100031,XPMCJ,1211,2025-09-01
C100031,LTGW,456,2025-09-01
C100031,TTLY,649,2025-09-01
C100031,QXMO,1001,2025-09-01
C100031,BYWX,807,2025-09-01
C100031,NSL,1743,2025-09-01
C100031,CGR,1164,2025-09-01
C100031,NWWHU,38,2025-09-01
C100032,MURH,440,2025-09-01
C100032,HLT,96,2025-09-01
C100032,QZIUC,1256,2025-09-01
C100032,KBXO,1862,2025-09-01
C100032,QHKZE,1782,2025-09-01
C100032,QZIZI,700,2025-09-01
C100032,ZDZW,194,2025-09-01
C100032,BTQGT,1461,2025-09-01
C100032,YFA,461,2025-09-01
C100032,VKB,820,2025-09-01
C100032,POSSK,1261,2025-09-01
C100032,GSHRU,527,2025-09-01
C100032,CCD,1684,2025-09-01
C100032,LCRVI,1694,2025-09-01
C100033,HUMGL,79,2025-09-01
C100033,PFCH,61,2025-09-01
C100033,CSEG,888,2025-09-01
C100033,NTUX,529,2025-09-01
C100033,HXWQP,1642,2025-09-01
C100033,NIACK,402,2025-09-01
C100033,QVBU,1293,2025-09-01
C100033,FKIJS,1261,2025-09-01
C100034,XCKAF,433,2025-09-01
C100034,EYERS,1585,2025-09-01
C100034,GZUXF,1030,2025-09-01
C100034,KCIRN,311,2025-09-01
C100034,GGOC,1900,2025-09-01
C100035,HZRHO,14,2025-09-01
C100035,DGFQX,1365,2025-09-01
C100035,GMYHH,1060,2025-09-01
C100035,DYD,51,2025-09-01
C100035,YHSK,450,2025-09-01
C100035,RXQH,264,2025-09-01
C100036,SSNOZ,548,2025-09-01
C100036,IYFI,126,2025-09-01
C100036,DTBYQ,1210,2025-09-01
C100036,EYERS,463,2025-09-01
C100036,FNLLW,1080,2025-09-01
C100036,ZTSC,1416,2025-09-01
C100036,CGR,124,2025-09-01
C100036,CQOAC,855,2025-09-01
C100036,EZGC,1074,2025-09-01
C100036,MURH,394,2025-09-01
C100036,WIS,1439,2025-09-01
C100037,KREEP,1906,2025-09-01
C100037,AWBKJ,498,2025-09-01
C100037,OBNT,1209,2025-09-01
C100037,ATE,1876,2025-09-01
C100037,IQUI,674,2025-09-01
C100037,GGD,1003,2025-09-01
C100038,OJLHF,938,2025-09-01
C100038,LEE,981,2025-09-01
C100038,JVWF,662,2025-09-01
C100038,KDIJV,615,2025-09-01
C100038,PTCVZ,1368,2025-09-01
C100038,TNT,10,2025-09-01
C100038,REK,113,2025-09-01
C100038,LBDKO,1442,2025-09-01
C100038,CIM,1359,2025-09-01
C100038,QVSL,567,2025-09-01
C100039,XEW,1510,2025-09-01
C100039,VQPD,985,2025-09-01
C100039,GLHTL,892,2025-09-01
C100039,KFNI,1510,2025-09-01
C100039,QPESE,479,2025-09-01
C100039,MTWDE,1691,2025-09-01
C100039,QVBU,394,2025-09-01
C100039,YCYR,45,2025-09-01
C100039,IHYA,532,2025-09-01
C100039,RRJ,1280,2025-09-01
C100039,JDF,1945,2025-09-01
C100039,XFNEW,1715,2025-09-01
C100039,GERAA,1195,2025-09-01
C100040,WID,553,2025-09-01
C100040,HKNX,815,2025-09-01
C100040,JYS,1572,2025-09-01
C100040,WWJE,207,2025-09-01
C100040,ZGJ,1406,2025-09-01
C100041,USOZ,1146,2025-09-01
C100041,QXMO,1917,2025-09-01
C100041,FJB,1574,2025-09-01
C100041,MCKL,1215,2025-09-01
C100041,REK,1327,2025-09-01
C100041,UWVG,1365,2025-09-01
C100041,PDTOU,1753,2025-09-01
C100042,PJUHG,750,2025-09-01
C100042,ZJSXT,22,2025-09-01
C100042,GEL,151,2025-09-01
C100042,IYFI,79,2025-09-01
C100042,IULZ,192,2025-09-01
C100042,BWX,1156,2025-09-01
C100042,NTVB,572,2025-09-01
C100042,GTYH,1698,2025-09-01
C100042,HYRF,456,2025-09-01
C100042,FRWQW,1465,2025-09-01
C100042,ZGOJ,1819,2025-09-01
C100042,LSCOB,908,2025-09-01
C100042,RDVYC,1554,2025-09-01
C100043,BTSV,1030,2025-09-01
C100043,JHDE,238,2025-09-01
C100043,LEWLT,1275,2025-09-01
C100043,GCLLZ,177,2025-09-01
C100043,WID,1276,2025-09-01
C100043,MAQUS,1764,2025-09-01
C100043,ZMMY,1965,2025-09-01
C100044,SXB,282,2025-09-01
C100044,IRKXL,263,2025-09-01
C100044,ZIQU,1923,2025-09-01
C100044,ITMNM,50,2025-09-01
C100044,ZHWU,327,2025-09-01
C100044,ECNQI,222,2025-09-01
C100044,XVGQO,737,2025-09-01
C100044,ITY,154,2025-09-01
C100044,RFJMR,827,2025-09-01
C100044,TTH,338,2025-09-01
C100044,QWPSB,754,2025-09-01
C100044,ELK,881,2025-09-01
C100044,GLHTL,597,2025-09-01
C100044,XFNEW,225,2025-09-01
C100045,HKNX,1945,2025-09-01
C100045,LCRVI,1652,2025-09-01
C100045,ZIKTN,1318,2025-09-01
C100046,UUE,1605,2025-09-01
C100046,BBYX,1083,2025-09-01
C100046,PSBT,1299,2025-09-01
C100046,QQM,180,2025-09-01
C100047,VTRPU,238,2025-09-01
C100047,TSK,1328,2025-09-01
C100047,TTLY,1095,2025-09-01
C100047,LSCOB,148,2025-09-01
C100047,NLZBM,525,2025-09-01
C100047,RDCQB,1807,2025-09-01
C100047,RFF,842,2025-09-01
C100047,IQUI,269,2025-09-01
C100047,BQQBS,1191,2025-09-01
C100048,RONV,801,2025-09-01
C100048,WDZKD,1787,2025-09-01
C100048,XCKAF,1040,2025-09-01
C100048,OGJGR,211,2025-09-01
C100048,KBJZN,406,2025-09-01
C100048,QLRX,1766,2025-09-01
C100048,AJLY,1047,2025-09-01
C100048,VKB,618,2025-09-01
C100048,QZIUC,1809,2025-09-01
C100048,MJYL,426,2025-09-01
C100048,YBU,467,2025-09-01
C100048,BHICN,1001,2025-09-01
C100049,ZMMY,1912,2025-09-01
C100049,VNH,375,2025-09-01
C100049,TFNN,1957,2025-09-01
C100049,RDHG,1863,2025-09-01
C100049,EYCEP,855,2025-09-01
C100049,QWPSB,1077,2025-09-01
C100049,TIBOV,1578,2025-09-01
C100049,LJJEF,1863,2025-09-01
C100050,RKTA,1994,2025-09-01
C100050,WEG,1726,2025-09-01
C100050,OPUVG,721,2025-09-01
C100050,YIJUV,1859,2025-09-01
C100050,GDF,514,2025-09-01
C100050,IHYA,1768,2025-09-01
C100050,FVOPV,1402,2025-09-01
C100050,NLUC,858,2025-09-01
C100050,IRRD,956,2025-09-01
C100050,KOG,1965,2025-09-01
C100050,AJDX,404,2025-09-01
C100051,LNURY,1856,2025-09-01
C100051,SYZXC,45,2025-09-01
C100051,ORWR,715,2025-09-01
C100051,DZI,1468,2025-09-01
C100051,TSK,225,2025-09-01
C100051,CTG,898,2025-09-01
C100051,HJD,1520,2025-09-01
C100051,QRS,1123,2025-09-01
C100051,JFG,1737,2025-09-01
C100051,XMDWL,1900,2025-09-01
C100051,USVXZ,181,2025-09-01
C100051,BQXZT,344,2025-09-01
C100051,NLUC,1041,2025-09-01
C100052,SPZRA,504,2025-09-01
C100052,MSLHS,1036,2025-09-01
